ContentKey,en-US,fr-FR,ru-RU,be-BY,uk-UA,kk-KZ
app_title,Listening,~fr~Listening,Слушание,~by~Listening,Слухання,~kz~Listening
app_description,Single page application using aspnet core and angular,~fr~Single page application using aspnet core and angular,Приложение для улучшения навыков распознавания речи (написано с использованием технологий .net core & angular),~by~Single page application using aspnet core and angular,~ua~Single page application using aspnet core and angular,~kz~Single page application using aspnet core and angular
app_repo_url,https://github.com/asadsahi/aspnetcorespa,https://github.com/asadsahi/aspnetcorespa,https://github.com/asadsahi/aspnetcorespa,https://github.com/asadsahi/aspnetcorespa,https://github.com/asadsahi/aspnetcorespa,https://github.com/asadsahi/aspnetcorespa
app_nav_home,Home,~fr~Home,Домашняя,~by~Home,Домашня,~kz~Home
app_nav_signalr,Chat,~fr~Chat,Разговорник,~by~Chat,Чат,~kz~Chat
app_nav_examples,Examples,~fr~Examples,Примеры,~by~Examples,Приклади,~kz~Examples
app_nav_register,Register,~fr~Register,Регистрация,~by~Register,Реєстрація,~kz~Register
app_nav_login,Login,~fr~Login,Вход,~by~Login,Вхід,~kz~Login
app_nav_crosswd_list,Crossword list,~fr-FR~Crossword list,Список кроссвордов,~be-BY~Crossword list,Список кросвордів,~kk-KZ~Crossword list
app_nav_crosswd_res,Crossword results,~fr-FR~Crossword results,Результаты кроссвордов,~be-BY~Crossword results,Результати кросвордів,~kk-KZ~Crossword results
app_nav_crosswd_admin,Manage crosswords,~fr-FR~Manage crosswords,Управление кроссвордами,~be-BY~Manage crosswords,Керування кросвордами,~kk-KZ~Manage crosswords
app_nav_logout,Logout,~fr~Logout,Выход,~by~Logout,Вихід,~kz~Logout
app_login_btn,Login,~fr~Login,Войти,~by~Login,Ввійти,~kz~Login
app_registry_btn,Register,~fr~Register,Зарегистрироваться,~by~Register,Зареєструватись,~kz~Register
app_email,Email,~fr~Email,Электронная почта,~by~Email,Електронна пошта,~kz~Email
app_password,Password,~fr~Password,Пароль,~by~Password,Пароль,~kz~Password
app_username,Username,~fr~Username,Имя в системе,~by~Username,Ім“я в системі,~kz~Username
app_firstname,Firstname,~fr~Firstname,Имя,~by~Firstname,Ім“я,~kz~Firstname
app_lastname,Lastname,~fr~Lastname,Фамилия,~by~Lastname,Прізвище,~kz~Lastname
app_mobile,Mobile,~fr~Mobile,Мобильный,~by~Mobile,Мобільний,~kz~Mobile
app_forget_password,Forget password? click here,~fr~Forget password? click here,Забыли пароль? Нажмите сюда,~by~Forget password? click here,Забули пароль? Натисніть тут,~kz~Forget password? click here
app_nav_admin,Admin,~fr-FR~Admin,Администрирование,~be-BY~Admin,Адміністрування,~kk-KZ~Admin
app_nav_results,Results,~fr-FR~Results,Результаты,~be-BY~Results,Результати,~kk-KZ~Results
app_nav_texts_list,Texts,~fr-FR~Texts,Тексты,~be-BY~Texts,Тексти,~kk-KZ~Texts
app_texts_list_header,Texts for listening,~fr-FR~Texts for listening,Тексты для прослушивания,~be-BY~Texts for listening,Тексти для прослуховування,~kk-KZ~Texts for listening
app_texts_joined_type,Joined,~fr-FR~Joined,Объединённый,~be-BY~Joined,Об“єднаний,~kk-KZ~Joined
app_texts_separated_type,Separated,~fr-FR~Separated,Разделённый,~be-BY~Separated,Розділений,~kk-KZ~Separated
app_nav_texts_admin,Manage texts,~fr-FR~Manage texts,Управление текстами,~be-BY~Manage texts,Керування текстами,~kk-KZ~Manage texts
app_nav_roles_admin,Manage roles,~fr-FR~Manage roles,Управление ролями,~be-BY~Manage roles,Керування ролями,~kk-KZ~Manage roles
app_texts_list_header_for_admin,Texts for editing,~fr-FR~Texts for editing,Тексты для изменения,~be-BY~Texts for editing,Тексти для редагування,~kk-KZ~Texts for editing
app_hotkeys,Hotkeys,~fr-FR~Hotkeys,Горячие клавиши,~be-BY~Hotkeys,Гарячі клавіші,~kk-KZ~Hotkeys
app_double_click,(double click) open hidden letter,~fr-FR~(double click) open hidden letter,(двойной клик) открыть скрытый символ,~be-BY~(double click) open hidden letter,(подвійний клік) відкрити прихований символ,~kk-KZ~(double click) open hidden letter
app_check_word,check word,~fr-FR~check word,проверить слово,~be-BY~check word,перевірка слова,~kk-KZ~check word
app_play_stop_audio,play/stop audio,~fr-FR~play/stop audio,проигрывать/остановить медиафайл,~be-BY~play/stop audio,грати/зупинити медіафайл,~kk-KZ~play/stop audio
app_previous_second_in_audio,previous second in audio,~fr-FR~previous second in audio,предыдущая секунда в медиафайле,~be-BY~previous second in audio,попередня секунда в медіафайлі,~kk-KZ~previous second in audio
app_next_second_in_audio,next second in audio,~fr-FR~next second in audio,следующая секунда в медиафайле,~be-BY~next second in audio,наступна секунда в медіафайлі,~kk-KZ~next second in audio
app_got_it,Got it,~fr-FR~Got it,Понятно,~be-BY~Got it,Зрозумів,~kk-KZ~Got it
